Company Name,Batch,Short Description,Founder Name(s),Founder LinkedIn URL(s)
Martini,W26,,Not found,Not found
Shofo,W26,,Get Started; Complete Social,Not found
GrazeMate,W26,,Not found,Not found
Ritivel,W26,,Try Search; Try Regulatory,Not found
SpotPay,W26,,Global Payments; Local Love,Not found
Veriad,W26,,Before Veriad; After Veriad,Not found
Coevolved,W26,,Not found,Not found
Fed10,W26,,Stop Reacting; To Legislative,Not found
Squid,W26,,About Us; San Francisco,Not found
Scout Out,W26,,Property Address; Phone Number,Not found
Corelayer,W26,,Privacy Policy,Not found
Chasi,W26,,Busy Work; Give Every,Not found
o11,W26,,Log In; Workspace Inside,Not found
Sequence Markets,W26,,The Execution; The Execution,Not found
Arzule,W26,,Sign In; Get Started,Not found
Bubble Lab,W26,,Build Now; Launch Special,Not found
Pocket,W26,,United Kingdom; United States,Not found
Constellation Space,W26,,Request Demo; Learn More,Not found
AxionOrbital Space,W26,,Case Studies; Contact Us,Not found
Caretta,W26,,Sales Call; Also Backed,Not found
Human Archive,W26,,Human Archive,Not found
Ressl AI,W26,,Use Cases; Join Slack,Not found
SideKit,W26,,Try It; One Harness,Not found
Clice AI,W26,,Not found,Not found
Chamber,W26,,Infrastructure Optimization; Discover Your,Not found
"BellabeatSan Francisco, CA, USA",Unknown,Tech-powered women's wellness.,Startup Jobs; Active Founders,Not found
"CruiseSan Francisco, CA, USA",Unknown,Self-driving cars.,Startup Jobs; Active Founders,Not found
"BenchlingSan Francisco, CA, USA",Unknown,Unlocking the power of biotech with modern software for modern science,"Sajith Wickramasekara
Founder/CEO; LinkedIn · Sajith Wickramasekara
5.6K+ followers",https://www.linkedin.com/in/sajithw
"CasetextSan Francisco, CA, USA",Unknown,We make the world's laws free and understandable.,Startup Jobs; Am Law,Not found
"BirdAmsterdam, NH, Netherlands",Unknown,The world’s largest omnichannel communications platform,Startup Jobs; Work Anywhere,Not found
"BrexSan Francisco, CA, USA",Unknown,"Business accounts, corporate cards, and spend management software.",Founder and CEO at Brex.,https://www.linkedin.com/in/pfranceschi
